Sample,Age,Error
1,65,5
2,1195,100
3,1865,120
4,2630,190
5,2760,230
6,3500,400
7,5470,430
8,6000,1000
9,6130,435
10,7065,550
11,7210,570
12,8000,1000
13,10210,760
14,11380,1165
15,12000,1000
16,13000,1000
17,15000,1000
18,15610,1280
19,15955,1285
20,16300,1200
21,17000,1000
22,19000,1000
23,19400,1500
24,19500,1500
25,19900,1600
26,20000,1000
27,20660,1500
28,22065,1920
29,23000,3000
30,23613,1900
31,25000,4000
32,26000,1000
33,26000,2000
34,26300,2700
35,27000,2000
36,29000,3000
37,30000,1000
38,30000,6000
39,31000,2000
40,31000,2000
41,32000,2000
42,32000,2000
43,33000,3000
44,34000,3000
45,34000,4000
46,40000,2000
47,40555,3660
48,41000,5000
49,42550,3550
50,43390,4125
51,44000,3000
52,46000,2000
53,47000,4000
54,48000,4000
55,48000,6000
56,50000,4000
57,51000,4000
58,53000,4000
59,53000,6000
60,54000,5000
61,55000,3000
62,57000,8000
63,58000,9000
64,60000,4000
65,61000,4000
66,67000,5000
67,68000,5000
68,69000,4000
69,76000,5000
70,77000,5000
71,79000,8000
72,92000,7000
