,age,lake,lakenorm,char,charnorm,Poa,Poanorm,Podo,Podonorm,Miombo,Miombonorm,Olea,Oleanorm,rich,richnorm,Asters,Age
1,21.35994485,0.156819806,0.779804573,30.99986486,0.404785683,38.3,0.219791712,11.1,0.228395351,0.7,0.297014912,3.9,0.527381263,2.167409356,0.139197751,1.261261261,<57 ka
2,31.83705116,0.150649007,0.77001117,38.37107548,0.427481037,36.7,0.194895997,6.73,0.14272895,0,0.148747214,14.5,0.99980712,2.362528442,0.167739673,1.310043668,<57 ka
3,33.10475573,0.14124137,0.754622277,15.84402445,0.359192224,38.14,0.217222893,8.31,0.170803273,1.71,0.579706829,5.5,0.723782426,2.353820497,0.166390669,1.279707495,<57 ka
4,34.13537178,0.130182059,0.73584663,20.5633327,0.373209529,42.4,0.291259568,9.31,0.190282829,1.96,0.64908954,6.1,0.785571766,2.134453486,0.134724319,1.090909091,<57 ka
5,35.62400869,0.151639356,0.771599141,73.80440933,0.538604539,41.33,0.27160852,9.08,0.185685825,0.16,0.177347558,3.9,0.527381263,2.555914845,0.199498571,1.090909091,<57 ka
6,36.07639015,0.159880836,0.784572466,26.52109262,0.391145646,46.17,0.365240933,7.92,0.163565078,1.58,0.542466323,4.6,0.617363134,2.349312371,0.165695046,0.182149362,<57 ka
7,37.56439083,0.16255787,0.788692715,30.18515549,0.402295342,34.19,0.159472239,9,0.184103155,2.57,0.795671824,6,0.775867541,2.349181783,0.165674924,0.909090909,<57 ka
8,38.47247713,0.151958847,0.772110111,84.72751015,0.572658023,36.16,0.186896719,7.34,0.153174566,1.13,0.412761539,4.7,0.629829516,2.546671289,0.197902761,0.905797101,<57 ka
9,41.33539299,0.198658224,0.839620815,23.46644468,0.38191787,40.33,0.253860162,10.38,0.212573546,0.94,0.359964312,6.2,0.795027138,2.122903051,0.133180069,1.268115942,<57 ka
10,44.22784162,0.186610101,0.823595352,79.9905852,0.557941507,40.05,0.249002002,8.75,0.179211654,0.8,0.322644203,5.1,0.678231246,2.358845643,0.16716829,0.720720721,<57 ka
11,45.95175774,0.165158319,0.792650538,35.46960923,0.418514579,43.81,0.318123052,7.85,0.162287311,2.11,0.688603425,6.8,0.846378482,2.349099458,0.16566224,0.909090909,<57 ka
12,46.79581345,0.166402121,0.794527976,28.0921155,0.395915881,33.56,0.151288218,5.7,0.126207289,1.34,0.472971577,6.2,0.795027138,2.340940359,0.164408206,2.173913043,<57 ka
13,49.14475421,0.177237803,0.810452523,37.84687199,0.425858164,37,0.199428648,15,0.324557814,1.33,0.47007914,4,0.540434245,2.356197113,0.166758149,0.905797101,<57 ka
14,51.59065801,0.197215377,0.837753419,79.42171704,0.556168359,41.44,0.273597903,5.96,0.130246314,0.99,0.373646737,5.3,0.701401889,2.572892904,0.202449769,0.541516245,<57 ka
